Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
4	t2_2	1	Unknown	Fe2	Fe2	1.09	1	0.0827	0.000141421	119.5314438	0.204405065	uM
4	t2_2	1	Unknown	FeTot	FeTot	1.09	1	0.0901	0.001626346	130.2271232	2.350658251	uM
4	t2_3	1	Unknown	Fe2	Fe2	1.09	1	0.046	0.000282843	66.48665558	0.408810131	uM
4	t2_3	1	Unknown	FeTot	FeTot	1.09	1	0.07015	0.000565685	101.3921498	0.817620261	uM
4	t2_4	1	Unknown	Fe2	Fe2	1.09	1	0.05225	0.001767767	75.52016857	2.555063316	uM
4	t2_4	1	Unknown	FeTot	FeTot	1.09	1	0.082	0.002474874	118.5196904	3.577088643	uM
4	t2_5	1	Unknown	Fe2	Fe2	1.09	1	0.04165	0.001767767	60.19933055	2.555063316	uM
4	t2_5	1	Unknown	FeTot	FeTot	1.09	1	0.07245	0.000141421	104.7164825	0.204405065	uM
4	t2_6	1	Unknown	Fe2	Fe2	1.09	1	0.04645	0.000212132	67.13706852	0.306607598	uM
4	t2_6	1	Unknown	FeTot	FeTot	1.09	1	0.07505	0.000141421	108.4744239	0.204405065	uM
4	t2_7	1	Unknown	Fe2	Fe2	1.09	1	0.07655	0.00106066	110.6424671	1.53303799	uM
4	t2_7	1	Unknown	FeTot	FeTot	1.09	1	0.08295	0.002404163	119.8927844	3.47488611	uM
4	t2_8	1	Unknown	Fe2	Fe2	1.09	1	0.0726	0.002687006	104.9332869	3.883696241	uM
4	t2_8	1	Unknown	FeTot	FeTot	1.09	1	0.0809	7.07E-05	116.9297921	0.102202533	uM
4	t2_9	1	Unknown	Fe2	Fe2	1.09	1	0.0481	0.000424264	69.52191595	0.613215196	uM
4	t2_9	1	Unknown	FeTot	FeTot	1.09	1	0.08205	0.002969848	118.5919585	4.292506372	uM
1	t3_1	1	Unknown	Fe2	Fe2	1.09	1	0.06065	0.001202082	88.35597674	1.751213315	uM
1	t3_1	1	Unknown	FeTot	FeTot	1.09	1	0.07165	0.001979899	104.3809684	2.884351342	uM
1	t3_10	1	Unknown	Fe2	Fe2	1.09	1	0.0413	0.000707107	60.16655959	1.030125479	uM
1	t3_10	1	Unknown	FeTot	FeTot	1.09	1	0.07015	0.001414214	102.1957423	2.060250958	uM
