"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
2	"F12"	0.1052	"t0_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G11"	0.1035	"t0_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G12"	0.1042	"t0_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H11"	0.1061	"t0_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H12"	0.1065	"t0_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"A1"	0.0277	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
3	"A2"	0.1876	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"B1"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"B2"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"C1"	0.0329	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"C2"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"D1"	0.0306	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"D2"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"E1"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"E2"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
3	"F1"	0.5279	"FeCl2_2k"	1	"Unknown"	"Fe2"	"Fe2"	2181.8	NA
3	"F2"	0.5265	"FeCl2_2k"	1	"Unknown"	"Fe2"	"Fe2"	2181.8	NA
3	"G1"	0.2354	"FeCl2_5k"	1	"Unknown"	"Fe2"	"Fe2"	5454.5	NA
3	"G2"	0.2312	"FeCl2_5k"	1	"Unknown"	"Fe2"	"Fe2"	5454.5	NA
3	"H1"	0.1258	"FeCl2_10k"	1	"Unknown"	"Fe2"	"Fe2"	10909.1	NA
3	"H2"	0.1254	"FeCl2_10k"	1	"Unknown"	"Fe2"	"Fe2"	10909.1	NA
3	"A3"	0.095	"t1_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"A4"	0.0943	"t1_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"B3"	0.1108	"t1_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"B4"	0.1096	"t1_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"C3"	0.0697	"t1_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"C4"	0.0686	"t1_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"D3"	0.0763	"t1_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"D4"	0.0783	"t1_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"E3"	0.0722	"t1_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"E4"	0.0716	"t1_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"F3"	0.0741	"t1_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"F4"	0.0754	"t1_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"G3"	0.1036	"t1_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"G4"	0.1073	"t1_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"H3"	0.0948	"t1_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"H4"	0.1005	"t1_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"A5"	0.0772	"t1_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"A6"	0.0775	"t1_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"B5"	0.0725	"t1_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"B6"	0.076	"t1_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"C5"	0.0637	"t1_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"C6"	0.0629	"t1_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"D5"	0.0703	"t1_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"D6"	0.0719	"t1_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"E5"	0.0968	"t1_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"E6"	0.0953	"t1_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"F5"	0.0989	"t1_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"F6"	0.1012	"t1_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"G5"	0.0746	"t1_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"G6"	0.0738	"t1_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"H5"	0.077	"t1_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"H6"	0.076	"t1_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
3	"A7"	0.0289	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
3	"A8"	0.0261	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
3	"B7"	0.0309	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"B8"	0.0307	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"C7"	0.0985	"t1_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"C8"	0.0972	"t1_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"D7"	0.0307	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"D8"	0.0309	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"E7"	0.0306	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"E8"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
3	"F7"	0.5195	"FeCl2_2k"	1	"Unknown"	"FeTot"	"FeTot"	2181.8	NA
3	"F8"	0.5341	"FeCl2_2k"	1	"Unknown"	"FeTot"	"FeTot"	2181.8	NA
3	"G7"	0.2312	"FeCl2_5k"	1	"Unknown"	"FeTot"	"FeTot"	5454.5	NA
3	"G8"	0.2275	"FeCl2_5k"	1	"Unknown"	"FeTot"	"FeTot"	5454.5	NA
3	"H7"	0.1262	"FeCl2_10k"	1	"Unknown"	"FeTot"	"FeTot"	10909.1	NA
3	"H8"	0.1245	"FeCl2_10k"	1	"Unknown"	"FeTot"	"FeTot"	10909.1	NA
3	"A9"	0.1021	"t1_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"A10"	0.101	"t1_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"B9"	0.1157	"t1_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
3	"B10"	0.1156	"t1_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
