"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
2	"C5"	0.0372	"t9_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C6"	0.0352	"t9_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D5"	0.0388	"t9_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D6"	0.0381	"t9_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E5"	0.0341	"t9_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E6"	0.0326	"t9_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F5"	0.033	"t9_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F6"	0.0333	"t9_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G5"	0.0768	"t9_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G6"	0.0755	"t9_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H5"	0.0797	"t9_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H6"	0.0787	"t9_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A7"	0.032	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
2	"A8"	0.0269	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
2	"B7"	0.0885	"t8_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B8"	0.089	"t8_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C7"	0.0272	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"C8"	0.0272	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"D7"	0.0261	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"D8"	0.0274	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"E7"	0.0277	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"E8"	0.0257	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"F7"	0.5268	"FeCl2_2k"	1	"Unknown"	"FeTot"	"FeTot"	2181.8	NA
2	"F8"	0.5237	"FeCl2_2k"	1	"Unknown"	"FeTot"	"FeTot"	2181.8	NA
2	"G7"	0.2304	"FeCl2_5k"	1	"Unknown"	"FeTot"	"FeTot"	5454.5	NA
2	"G8"	0.229	"FeCl2_5k"	1	"Unknown"	"FeTot"	"FeTot"	5454.5	NA
2	"H7"	0.1249	"FeCl2_10k"	1	"Unknown"	"FeTot"	"FeTot"	10909.1	NA
2	"H8"	0.1264	"FeCl2_10k"	1	"Unknown"	"FeTot"	"FeTot"	10909.1	NA
2	"A9"	0.0836	"t9_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A10"	0.0853	"t9_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B9"	0.0987	"t9_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B10"	0.1011	"t9_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C9"	0.0976	"t9_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C10"	0.0975	"t9_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D9"	0.1082	"t9_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D10"	0.1083	"t9_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E9"	0.1	"t9_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
