Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
2	B11	t9_10	1	Unknown	FeTot	FeTot	1.09	NA
2	B12	t9_10	1	Unknown	FeTot	FeTot	1.09	NA
2	C11	t9_11	1	Unknown	FeTot	FeTot	1.09	NA
2	C12	t9_11	1	Unknown	FeTot	FeTot	1.09	NA
2	D11	t9_12	1	Unknown	FeTot	FeTot	1.09	NA
2	D12	t9_12	1	Unknown	FeTot	FeTot	1.09	NA
2	E11	t9_13	1	Unknown	FeTot	FeTot	1.09	NA
2	E12	t9_13	1	Unknown	FeTot	FeTot	1.09	NA
2	F11	t9_14	1	Unknown	FeTot	FeTot	1.09	NA
2	F12	t9_14	1	Unknown	FeTot	FeTot	1.09	NA
2	G11	t9_15	1	Unknown	FeTot	FeTot	1.09	NA
2	G12	t9_15	1	Unknown	FeTot	FeTot	1.09	NA
2	H11	t9_16	1	Unknown	FeTot	FeTot	1.09	NA
2	H12	t9_16	1	Unknown	FeTot	FeTot	1.09	NA
