Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc	Standard_group
1	A8	Std 1	1	Standard	FeTot	FeTot	1	20	FeTot
1	B7	Std 2	1	Standard	FeTot	FeTot	1	50	FeTot
1	B8	Std 2	1	Standard	FeTot	FeTot	1	50	FeTot
1	C7	Std 3	1	Standard	FeTot	FeTot	1	100	FeTot
1	C8	Std 3	1	Standard	FeTot	FeTot	1	100	FeTot
1	D7	Std 4	1	Standard	FeTot	FeTot	1	150	FeTot
1	D8	Std 4	1	Standard	FeTot	FeTot	1	150	FeTot
1	E7	Std 5	1	Standard	FeTot	FeTot	1	200	FeTot
1	E8	Std 5	1	Standard	FeTot	FeTot	1	200	FeTot
1	F7	Std 6	1	Standard	FeTot	FeTot	1	300	FeTot
1	F8	Std 6	1	Standard	FeTot	FeTot	1	300	FeTot
1	G7	Std 7	1	Standard	FeTot	FeTot	1	500	FeTot
1	G8	Std 7	1	Standard	FeTot	FeTot	1	500	FeTot
1	H7	Std 8	1	Standard	FeTot	FeTot	1	700	FeTot
1	H8	Std 8	1	Standard	FeTot	FeTot	1	700	FeTot
1	A9	tU_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	A10	tU_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	B9	tU_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	B10	tU_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C9	tU_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C10	tU_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D9	tU_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D10	tU_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E9	tU_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E10	tU_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F9	tU_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F10	tU_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G9	tU_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G10	tU_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H9	tU_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H10	tU_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	A11	tU_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	A12	tU_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	B11	tU_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	B12	tU_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C11	tU_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C12	tU_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D11	tU_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D12	tU_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E11	tU_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E12	tU_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F11	tU_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F12	tU_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G11	tU_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G12	tU_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H11	tU_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H12	tU_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A1	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
2	A2	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
2	B1				Fe2	Fe2		NA	Fe2
2	B2				Fe2	Fe2		NA	Fe2
2	C1				Fe2	Fe2		NA	Fe2
2	C2				Fe2	Fe2		NA	Fe2
2	D1				Fe2	Fe2		NA	Fe2
2	D2				Fe2	Fe2		NA	Fe2
2	E1				Fe2	Fe2		NA	Fe2
2	E2				Fe2	Fe2		NA	Fe2
2	F1				Fe2	Fe2		NA	Fe2
2	F2				Fe2	Fe2		NA	Fe2
2	G1				Fe2	Fe2		NA	Fe2
2	G2				Fe2	Fe2		NA	Fe2
2	H1				Fe2	Fe2		NA	Fe2
2	H2				Fe2	Fe2		NA	Fe2
2	A3	t0_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A4	t0_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B3	t0_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B4	t0_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C3	t0_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C4	t0_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D3	t0_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D4	t0_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E3	t0_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E4	t0_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F3	t0_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F4	t0_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G3	t0_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G4	t0_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H3	t0_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H4	t0_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A5	t0_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A6	t0_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B5	t0_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B6	t0_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C5	t0_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C6	t0_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D5	t0_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D6	t0_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E5	t0_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E6	t0_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F5	t0_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F6	t0_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G5	t0_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G6	t0_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H5	t0_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H6	t0_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A7	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
2	A8	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
2	B7				FeTot	FeTot			FeTot
2	B8				FeTot	FeTot			FeTot
2	C7				FeTot	FeTot			FeTot
2	C8				FeTot	FeTot			FeTot
2	D7				FeTot	FeTot			FeTot
2	D8				FeTot	FeTot			FeTot
2	E7				FeTot	FeTot			FeTot
2	E8				FeTot	FeTot			FeTot
2	F7				FeTot	FeTot			FeTot
2	F8				FeTot	FeTot			FeTot
2	G7				FeTot	FeTot			FeTot
2	G8				FeTot	FeTot			FeTot
2	H7				FeTot	FeTot			FeTot
2	H8				FeTot	FeTot			FeTot
2	A9	t0_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A10	t0_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B9	t0_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B10	t0_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C9	t0_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C10	t0_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D9	t0_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D10	t0_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E9	t0_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E10	t0_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F9	t0_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F10	t0_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G9	t0_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G10	t0_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H9	t0_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H10	t0_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A11	t0_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A12	t0_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B11	t0_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B12	t0_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C11	t0_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C12	t0_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D11	t0_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D12	t0_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E11	t0_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E12	t0_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F11	t0_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F12	t0_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G11	t0_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G12	t0_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H11	t0_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H12	t0_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	A1	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
3	A2	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
3	B1				Fe2	Fe2		NA	Fe2
3	B2				Fe2	Fe2		NA	Fe2
3	C1				Fe2	Fe2		NA	Fe2
3	C2				Fe2	Fe2		NA	Fe2
3	D1				Fe2	Fe2		NA	Fe2
3	D2				Fe2	Fe2		NA	Fe2
3	E1				Fe2	Fe2		NA	Fe2
3	E2				Fe2	Fe2		NA	Fe2
3	F1	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA	Fe2
3	F2	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA	Fe2
3	G1	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA	Fe2
3	G2	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA	Fe2
3	H1	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA	Fe2
3	H2	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA	Fe2
3	A3	t1_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	A4	t1_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	B3	t1_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	B4	t1_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	C3	t1_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	C4	t1_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	D3	t1_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	D4	t1_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	E3	t1_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	E4	t1_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	F3	t1_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	F4	t1_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	G3	t1_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	G4	t1_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	H3	t1_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	H4	t1_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	A5	t1_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	A6	t1_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	B5	t1_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	B6	t1_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	C5	t1_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	C6	t1_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	D5	t1_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	D6	t1_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	E5	t1_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	E6	t1_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	F5	t1_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	F6	t1_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	G5	t1_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	G6	t1_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	H5	t1_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	H6	t1_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
3	A7	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
3	A8	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
3	B7				FeTot	FeTot			FeTot
3	B8				FeTot	FeTot			FeTot
3	C7	t1_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	C8	t1_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	D7				FeTot	FeTot			FeTot
3	D8				FeTot	FeTot			FeTot
3	E7				FeTot	FeTot			FeTot
3	E8				FeTot	FeTot			FeTot
3	F7	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA	FeTot
3	F8	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA	FeTot
3	G7	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA	FeTot
3	G8	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA	FeTot
3	H7	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA	FeTot
3	H8	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA	FeTot
3	A9	t1_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	A10	t1_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	B9	t1_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	B10	t1_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	C9				FeTot	FeTot			FeTot
3	C10				FeTot	FeTot			FeTot
3	D9	t1_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	D10	t1_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	E9	t1_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	E10	t1_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	F9	t1_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	F10	t1_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	G9	t1_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	G10	t1_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	H9	t1_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	H10	t1_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	A11	t1_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	A12	t1_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	B11	t1_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	B12	t1_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	C11	t1_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	C12	t1_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	D11	t1_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	D12	t1_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	E11	t1_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	E12	t1_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	F11	t1_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	F12	t1_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	G11	t1_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	G12	t1_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	H11	t1_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
3	H12	t1_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	A1	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
4	A2	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
4	B1				Fe2	Fe2		NA	Fe2
4	B2				Fe2	Fe2		NA	Fe2
4	C1				Fe2	Fe2		NA	Fe2
4	C2				Fe2	Fe2		NA	Fe2
4	D1				Fe2	Fe2		NA	Fe2
4	D2				Fe2	Fe2		NA	Fe2
4	E1				Fe2	Fe2		NA	Fe2
4	E2				Fe2	Fe2		NA	Fe2
4	F1				Fe2	Fe2		NA	Fe2
4	F2				Fe2	Fe2		NA	Fe2
4	G1				Fe2	Fe2		NA	Fe2
4	G2				Fe2	Fe2		NA	Fe2
4	H1				Fe2	Fe2		NA	Fe2
4	H2				Fe2	Fe2		NA	Fe2
4	A3	t2_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	A4	t2_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	B3	t2_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	B4	t2_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	C3	t2_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	C4	t2_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	D3	t2_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	D4	t2_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	E3	t2_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	E4	t2_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	F3	t2_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	F4	t2_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	G3	t2_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	G4	t2_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	H3	t2_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	H4	t2_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	A5	t2_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	A6	t2_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	B5	t2_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	B6	t2_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	C5	t2_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	C6	t2_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	D5	t2_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	D6	t2_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	E5	t2_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	E6	t2_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	F5	t2_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	F6	t2_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	G5	t2_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	G6	t2_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	H5	t2_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	H6	t2_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
4	A7	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
4	A8	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
4	B7				FeTot	FeTot			FeTot
4	B8				FeTot	FeTot			FeTot
4	C7				FeTot	FeTot			FeTot
4	C8				FeTot	FeTot			FeTot
4	D7				FeTot	FeTot			FeTot
4	D8				FeTot	FeTot			FeTot
4	E7				FeTot	FeTot			FeTot
4	E8				FeTot	FeTot			FeTot
4	F7				FeTot	FeTot			FeTot
4	F8				FeTot	FeTot			FeTot
4	G7				FeTot	FeTot			FeTot
4	G8				FeTot	FeTot			FeTot
4	H7				FeTot	FeTot			FeTot
4	H8				FeTot	FeTot			FeTot
4	A9	t2_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	A10	t2_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	B9	t2_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	B10	t2_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	C9	t2_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	C10	t2_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	D9	t2_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	D10	t2_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	E9	t2_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	E10	t2_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	F9	t2_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	F10	t2_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	G9	t2_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	G10	t2_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	H9	t2_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	H10	t2_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	A11	t2_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	A12	t2_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	B11	t2_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	B12	t2_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	C11	t2_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	C12	t2_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	D11	t2_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	D12	t2_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	E11	t2_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	E12	t2_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	F11	t2_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	F12	t2_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	G11	t2_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	G12	t2_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	H11	t2_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
4	H12	t2_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
